,e0b9d79758b - initial,,,,,,408a28e7676 - sup json,,,,,,01b8046c58e - WithName WithValues,,,,,,32596ed3ef9 - only v>3,,,,,,f7ac1e31be7 - no WithName,,,,,
scheduler_framework_extension_point_duration_seconds,3.179981493,2.61761658,6.198425197,9.802531646,16.29090909,ms,15.62644304,12.77897252,28.75949367,46.50666667,63.57333333,ms,12.03977957,12.54460094,22.91891892,36.65454545,59.92727273,ms,5299.365234,5326.372361,9257.274472,9748.637236,10141.72745,ms,11.33095559,11.54216867,21.78313253,31.42168675,58.31111111,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.031536411,0.686532951,1.856,3.768888889,7.876923077,ms,4766.83631,4770.563798,9112.246696,9676.123348,10127.22467,ms,3738.569902,3787.817746,8430.812721,9335.40636,10059.08127,ms,3.536591214,2.728611898,6.492753623,11.13043478,23.22962963,ms,3363.209447,3407.932489,7442.185792,8841.092896,9960.218579,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,15.59253649,12.77511962,28,44.21052632,61.05263158,ms,3.195417858,2.583523447,6.018348624,10.21935484,21.94285714,ms,2.683804248,2.514285714,4.668852459,8.378181818,14.93333333,ms,1.165707149,0.715955766,2.33442623,4.408888889,10.24,ms,2.378977017,2.006299213,4.378947368,8.090566038,14.08,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,4746.622579,4801.987578,9126.956522,9683.478261,10128.69565,ms,1.013157361,0.682485876,1.659259259,3.140740741,8,ms,1.018764764,0.641837969,1.940983607,3.388235294,9.411764706,ms,18.21034752,13.41271989,31.61212121,50.17283951,85.33333333,ms,0.812531319,0.61809291,1.44,3.033333333,6.311111111,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,228,142,367,367,367,pods/s,250,143,434,434,434,pods/s,387.5,219,556,556,556,pods/s,162.1666667,166,200,200,200,pods/s,451,277,625,625,625,pods/s
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.861698487,1.222960725,4.290909091,6.109090909,12.60606061,ms,1.432715982,0.978091873,2.977990431,4.32,7.2,ms,4.4526094,3.297016861,9.505882353,14.21176471,27.5862069,ms,11.564493,9.881318681,23.4954955,30.7027027,57.43589744,ms,4.250612913,3.276214834,9.882352941,13.80392157,26.66666667,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.963889753,0.569620253,2.038356164,3.134246575,8.533333333,ms,0.79995656,0.4192,1.504347826,2.4,5.942857143,ms,1026.31164,1038.961039,2082.38806,2321.19403,2512.238806,ms,2569.983668,2634.563107,4622.912621,4871.456311,5070.291262,ms,889.9217773,926.6750314,1247.879548,1493.333333,2346.666667,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,8.202341051,5.448717949,19.83333333,28.16666667,52.92307692,ms,6.385640265,3.76056338,14.46464646,19.62264151,31.69811321,ms,1.146545306,0.698953662,2.557264957,3.423255814,6.4,ms,2.596009344,2.085274725,5.359349593,7.630769231,12.55384615,ms,1.008795859,0.661780105,2.318644068,2.996610169,5.866666667,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,1952.934072,1982.281879,4011.774892,4565.887446,5009.177489,ms,1169.031932,1131.707317,2228.393782,2394.196891,2526.839378,ms,0.612287167,0.352207002,1.384946237,2.277966102,4.945454545,ms,1.324878625,1.015668203,2.841121495,4.5,7.68,ms,0.542855032,0.330890052,1.211428571,1.592380952,3.657142857,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,125,126,163,163,163,pods/s,123.375,127,152,152,152,pods/s,145.6666667,154,173,173,173,pods/s,111.1111111,119,138,138,138,pods/s,166.6666667,177,197,197,197,pods/s
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.894139831,1.338358008,3.403174603,5.942857143,11.91111111,ms,13.29815114,12.45535714,16.69565217,28.28985507,60.44444444,ms,10.75341209,10.83544304,15.89873418,27.2,56.27586207,ms,14.89475801,12.5209513,20.12903226,34.66666667,61.33333333,ms,9.853952513,7.490401396,15.78571429,25.93939394,52.86956522,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.922191324,0.648743719,1.6,2.812121212,6.044444444,ms,3865.692431,3855.802469,8533.333333,9386.666667,10069.33333,ms,3269.499037,3359.386973,6608.794326,8424.397163,9876.879433,ms,4275.799878,4365.040214,8927.179487,9583.589744,10108.71795,ms,2843.634531,2920.687285,4680.137457,4900.068729,5076.013746,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,12.93071044,12.33466135,24.71287129,34.50980392,59.60784314,ms,1.898839153,1.383090379,3.044725738,4.928,12.44444444,ms,1.881046644,1.316795866,3.00979021,5.12,12.46315789,ms,2.03495885,1.495652174,3.107246377,5.726315789,11.93513514,ms,1.519582245,1.244444444,1.6,4.547368421,10.13333333,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,3594.553976,3496.727273,7923.257919,9081.628959,10008.32579,ms,0.92868536,0.663143989,1.475449102,2.536585366,6.4,ms,0.994574785,0.64968789,1.494736842,2.844444444,8.32,ms,1.013438423,0.695420975,1.534156379,2.971428571,8.861538462,ms,0.708801198,0.601941748,0.796116505,2.224390244,6.023529412,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,500,315,685,685,685,pods/s,500,471,529,529,529,pods/s,500,480,520,520,520,pods/s,466,423,509,509,509,pods/s,500,329,671,671,671,pods/s
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.725941754,2.993006993,3.925407925,6.25,14.5,ms,867.3212986,850.2415459,1983.423423,2271.711712,2502.342342,ms,3.269873585,3.099428571,4.428571429,8,15.80487805,ms,4.112056756,3.433093525,7.355371901,10.14634146,24.42105263,ms,0.168376898,0.146841294,0.306796117,0.418604651,0.790697674,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,650.7418144,633.5785953,1150.445344,1215.222672,1267.044534,ms,0.222897373,0.161696306,0.362162162,0.587234043,1.55,ms,791.350506,767.113164,1723.398693,2141.699346,2476.339869,ms,976.5204985,957.5321337,2138.947368,2349.473684,2517.894737,ms,0.365289033,0.309649123,0.397368421,0.904347826,1.6,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.163434924,0.148406677,0.308108108,0.398198198,0.8,ms,0.472708588,0.344927536,0.744262295,1.104761905,3,ms,0.403525107,0.315545244,0.594594595,1.046153846,2.9,ms,0.233718961,0.170851371,0.385915493,0.622222222,1.364705882,ms,2.721141279,3.012514221,3.922639363,6,14.4,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.370706477,0.310253583,0.39845645,0.8,1.76,ms,3.70723814,3.181065089,6.138613861,8.6,22,ms,0.462277409,0.328369705,0.712258065,1.128205128,3.111111111,ms,0.506236438,0.371526587,0.768604651,1.271794872,2.971428571,ms,656.5409578,646.3366337,1153.267327,1216.633663,1267.326733,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,83.33333333,78,108,108,108,pods/s,90.90909091,93,97,99,99,pods/s,100,110,122,123,123,pods/s,83.33333333,83,91,95,95,pods/s,125,131,136,136,136,pods/s
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,15.66080319,13.50877193,28.78632479,34.28571429,70.4,ms,14.08850763,12.66900585,23.18367347,31.34693878,59.42857143,ms,11.75849217,12.2739726,15.92694064,28.67924528,58.51428571,ms,15.48220529,12.81927711,25.18032787,31.73770492,82.28571429,ms,10.1673354,11.23243243,15.55675676,21.14285714,55.17241379,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,5391.808014,5047.154472,11418.0531,15949.02655,19573.80531,ms,5287.389674,5258.378378,9516.174636,10048.39917,17280,ms,4308.132013,4233.202614,8940.507614,9590.253807,10110.05076,ms,5767.786161,5657.716895,10998.51852,15739.25926,19531.85185,ms,3881.351,3875.229358,8738.533724,9489.266862,10089.85337,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.489338382,0.340687679,0.771153846,1.309090909,3.123809524,ms,0.413993954,0.328865979,0.698795181,0.982857143,2.823529412,ms,0.810420236,0.648447205,1.306666667,1.573333333,6.981818182,ms,0.465744022,0.351975684,0.76119403,1.2,2.819047619,ms,0.347704511,0.314149822,0.556,0.756,2.713043478,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.006428981,0.696296296,1.569230769,2.693333333,6.4,ms,0.933737315,0.670635995,1.419230769,1.866666667,9.035294118,ms,1.078104746,0.716957211,1.485350318,2.021052632,10.57391304,ms,1.005203986,0.735008375,1.482816901,1.595492958,6.981818182,ms,0.761106126,0.613219616,0.783795309,1.257142857,5.538461538,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,393.5,183,604,604,604,pods/s,500,378,622,622,622,pods/s,500,383,617,617,617,pods/s,243.5,246,298,298,298,pods/s,867,867,867,867,867,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.397650552,0.187067395,0.756302521,1.429787234,4.622222222,ms,3.527594753,3.027818448,6.518518519,9.904761905,24,ms,3.770164634,3.039242219,6.093023256,10.4,41.84615385,ms,1878.552555,1850.772627,4091.88755,4605.943775,5017.188755,ms,491.0607754,481.965602,1065.953177,1172.976589,1258.595318,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.805739181,0.493297587,1.5296,2.606451613,6.063157895,ms,665.6132256,662.2393822,1156.447876,1218.223938,1267.644788,ms,874.315475,893.243607,1237.792732,1305.098039,2309.019608,ms,0.608867058,0.380743982,1.176470588,1.512605042,3.733333333,ms,0.194522763,0.158241758,0.36,0.576271186,1.309090909,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.064011669,3.415525114,10.81818182,15.36363636,43.63636364,ms,0.244700212,0.168162693,0.452173913,0.742028986,1.6,ms,0.520034833,0.327713921,0.777419355,1.449056604,5.6,ms,1.378762222,1.084231537,2.505882353,3.094117647,9.846153846,ms,0.43034812,0.324843945,0.714285714,1.128571429,2.533333333,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,1195.600968,1377.005545,2323.401109,2441.700555,2536.340111,ms,0.552567018,0.380831826,0.902857143,1.474285714,3.555555556,ms,0.612500205,0.398019802,0.970666667,1.504,5.866666667,ms,8.754070155,7.144827586,15.14563107,21.66666667,50,ms,2.543410733,2.455555556,3.937037037,6.357142857,13.66666667,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,80.25,79,99,101,101,pods/s,237.25,237,252,252,252,pods/s,200,194,271,271,271,pods/s,200,209,224,224,224,pods/s,197,203,235,235,235,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,20.65573899,23.16477987,31.21509434,39.18367347,76.8,ms,7.000312682,6.434146341,12.71641791,15.70149254,29.02325581,ms,7.340309924,6.288329519,11.52542373,21.44,46.93333333,ms,7.85338708,6.857962697,14.30588235,15.8745098,29.09090909,ms,8.388117829,6.751031637,14.81773399,21.51724138,38.4,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,6049.119382,5887.427293,11946.66667,16213.33333,19626.66667,ms,2044.169892,2028.474576,4394.787535,4757.393768,5047.478754,ms,2078.209382,1993.312693,4402.913165,4761.456583,5048.291317,ms,2310.307857,2301.414141,4538.181818,4829.090909,5061.818182,ms,2557.466544,2527.388535,4599.674797,4859.837398,5067.96748,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.160642651,0.782389937,2.015584416,3.054545455,7.822222222,ms,0.440645948,0.326410256,0.739849624,1.371428571,3.093333333,ms,0.973731605,0.653164557,1.437681159,3.2,10.10526316,ms,0.503673255,0.347337278,0.789473684,1.44,3.2,ms,0.525102202,0.335933148,0.937142857,1.508571429,5.333333333,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,2.711620756,2.274098361,4.579816514,6.047706422,17.92,ms,0.978220781,0.732225914,1.520241692,2.4,6.030769231,ms,1.169856097,0.941634241,1.564202335,3.466666667,9.846153846,ms,1.077507733,0.854700855,1.538461538,2.3,6.4,ms,1.220379114,0.775234522,1.589247312,2.933333333,9.6,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,182,193,206,206,206,pods/s,500,478,522,522,522,pods/s,500,435,565,565,565,pods/s,496.5,445,548,548,548,pods/s,500,406,594,594,594,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,10.41945246,10.02076125,15.55709343,22.85714286,53.33333333,ms,3.451235952,3.119075145,5.027027027,7.72972973,15.56756757,ms,3.242695114,3.060465116,3.990697674,8.952380952,22,ms,886.1867757,893.9449541,2019.915612,2289.957806,2505.991561,ms,3.25603946,3.135135135,5.542168675,7.951807229,15.25581395,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,2506.649657,2432.439863,4576.475584,4848.237792,5065.647558,ms,765.8067887,767.7366255,1406.846847,1983.423423,2444.684685,ms,727.054461,702.6382979,1247.319149,1717.894737,2391.578947,ms,0.242431411,0.165768194,0.380246914,0.689361702,2,ms,743.0760447,730.1035197,1260.124224,1807.058824,2409.411765,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.591131181,0.385326087,1.187628866,1.6,5.12,ms,0.241666563,0.157545839,0.357142857,0.595744681,1.473684211,ms,0.411464739,0.314385151,0.603278689,1.371428571,3.2,ms,0.58965245,0.439160839,0.940540541,1.481081081,4.342857143,ms,0.196699509,0.156276446,0.355172414,0.584615385,1.364705882,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.484408509,1.159743041,2.767346939,3.175510204,9.6,ms,0.489821153,0.361550889,0.761414791,1.232432432,2.962962963,ms,0.495297582,0.342450142,0.764976959,1.339130435,3.2,ms,4.044662838,3.372764787,7.260663507,10.0952381,25.6,ms,0.483316508,0.35600624,0.76097561,1.182608696,2.947368421,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,33.86206897,31,68,72,81,pods/s,125,127,175,175,175,pods/s,142.8571429,146,155,155,155,pods/s,142.7142857,141,170,170,170,pods/s,123,118,153,153,153,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,40.5767926,42.12913386,62.28661417,82.61818182,139.6363636,ms,4042.404139,4113.796791,8789.575071,9514.787535,10094.95751,ms,9.753687957,9.462686567,15.43283582,20.8,51.2,ms,10.02112321,7.90625,16.17204301,24.77419355,31.65591398,ms,11.51474371,11.45945946,21.68595041,28.29752066,51.2,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,16274.24595,16862.08202,35681.64948,38320.82474,40432.16495,ms,0.358452494,0.285277247,0.677777778,0.96,3.022222222,ms,3400.870231,3378.942065,8013.913043,9126.956522,10017.3913,ms,3591.645534,3655.257732,8398.273381,9319.136691,10055.82734,ms,3879.88466,3832.55814,8674.250765,9457.125382,10083.42508,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.223800273,0.766961652,2.609230769,3.382857143,10.88,ms,0.914715643,0.640096038,1.478481013,2.92173913,6.303030303,ms,0.808033676,0.632828871,1.13814433,1.550515464,6.222222222,ms,0.343594379,0.307988981,0.614634146,0.777235772,2.526315789,ms,0.37107228,0.303833866,0.697744361,1.072340426,2.5,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,2.956058948,2.398194131,5.731555556,7,20.62222222,ms,10.47997615,7.210272873,20.82758621,27.72413793,51.2,ms,1.04562823,0.682485876,1.450847458,2.2,10.4,ms,0.855677469,0.642424242,1.3,2.1,6.012121212,ms,0.963680891,0.663504611,1.505,2.871794872,7.68,ms
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,500,376,624,624,624,pods/s,1000,1000,1000,1000,1000,pods/s,500,229,771,771,771,pods/s,953,953,953,953,953,pods/s,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.383092491,3.609195402,10,19.74468085,41.84615385,ms,2.651404254,1.644329897,4.8125,7.9375,22.15384615,ms,4.82088512,3.08411215,12.7816092,15.08045977,27.03448276,ms,0.322277474,0.175494673,0.595121951,1.020689655,2.866666667,ms,0.240099144,0.16964539,0.486956522,0.776811594,1.538461538,ms
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
