,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
SchedulingThroughput,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.5092319429999974,1.62111801242236,3.6521739130434785,7.870967741935485,24.533333333333335,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,372.1953386330004,400.119940029985,592.023988005997,616.0119940029986,635.2023988005997,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.22310242400000002,0.15806451612903227,0.38666666666666666,0.6622950819672131,1.777777777777778,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.47109335599999963,0.330718954248366,0.7941605839416059,1.318918918918919,2.8444444444444446,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,500,182,818,818,818,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.504480464,1.9633911368015415,4.232558139534883,6.558139534883722,12.23529411764706,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,560.3033243709995,561.2565445026179,1122.3645320197045,1201.1822660098521,1264.2364532019706,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.28558960800000005,0.19057971014492753,0.6259259259259259,0.851063829787234,1.5319148936170213,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6493837269999997,0.6121359223300972,0.9444444444444445,1.5,2.977777777777778,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.9691987700000007,3.063583815028902,3.9884393063583814,7,14.666666666666668,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,281.8577324975001,278.89908256880733,565.5813953488372,602.7906976744187,632.5581395348837,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5434173525000007,0.535483870967742,0.7935483870967741,1.2923076923076924,3.2,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.3374437518796993,0.24773869346733668,0.5246153846153849,0.9024999999999979,2.243199999999997,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,142.85714285714286,83,274,274,274,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,9.106437519999991,6.658573596358118,23.804878048780488,30.308943089430894,57.411764705882355,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,2276.518725088,1914.5299145299145,4978.983050847457,7297.471264367817,9651.494252873563,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7631181909999997,0.4850574712643678,1.6,2.575609756097561,5.028571428571429,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7751230060000011,0.5953947368421053,1.504950495049505,2.7054545454545456,5.828571428571428,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
SchedulingThroughput,791,791,791,791,791,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,544.308932937,552.4378109452737,1115.8974358974358,1197.948717948718,1263.5897435897436,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.445827314999999,0.33680672268907563,0.9060240963855422,1.3879518072289159,2.8000000000000003,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.556183447,0.39841269841269844,1.0666666666666667,1.4967741935483871,2.9176470588235297,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.130000894999998,2.7491039426523294,6.01980198019802,8,15.44186046511628,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,333.3333333333333,360,446,446,446,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.863707211000007,3.574803149606299,9.600000000000001,14.305882352941177,29.53846153846154,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1153.4647276839999,1203.8585209003213,2283.542116630669,2421.771058315335,2532.3542116630674,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.8605104840000004,0.5868365180467091,1.6,2.85,6.4,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.1203842349999986,0.7542857142857142,2.111111111111111,3.2888888888888888,8.861538461538462,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,250,233,332,332,332,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.9736983100000012,1.4082101806239737,4.363636363636364,5.979797979797981,12.16,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.705570689999999,0.4186046511627907,1.4900763358778628,2.4533333333333336,5.221052631578948,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,6.7010337019999975,5.156626506024097,14.043165467625899,20.654545454545453,34.909090909090914,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1575.3979050979995,1626.4661654135336,2396.390977443609,2492.6315789473683,3413.333333333333,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,96.3,104,108,113,113,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,4890.496283958002,4843.040935672515,9134.168466522677,9687.08423326134,10129.41684665227,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,3.0988086070000014,2.551558752997602,5.619512195121952,9.600000000000001,20.329411764705885,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.0755443690000006,0.691970802919708,1.6,3.72093023255814,8.96,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,16.41185701000001,12.842615012106538,27.384615384615387,42.847457627118644,69.81818181818183,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,200,263,276,276,276,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,7.7470862879999975,6.227670753064799,15.686274509803921,24.800000000000004,41.14285714285714,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,1821.742255557999,1877.9737335834898,3934.814814814815,4527.407407407408,5001.481481481482,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.438044318,1.5968127490039843,5.376,6.678260869565218,12.243478260869566,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.7560817470000001,0.5114206128133705,1.5006211180124225,2.4571428571428573,5.236363636363636,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,88.0909090909091,92,102,104,104,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,5299.365234159991,5326.37236084453,9257.274472168905,9748.637236084453,10141.72744721689,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,3.5365912140000026,2.728611898016997,6.492753623188406,11.130434782608695,23.229629629629628,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.1657071490000022,0.715955766192733,2.334426229508197,4.408888888888889,10.24,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,18.21034752400001,13.412719891745601,31.61212121212121,50.172839506172835,85.33333333333333,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,
SchedulingThroughput,162.16666666666666,166,200,200,200,pods/s
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,11.56449299900002,9.881318681318682,23.495495495495497,30.7027027027027,57.43589743589744,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,2569.983667605,2634.5631067961162,4622.9126213592235,4871.456310679612,5070.291262135923,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.596009344000002,2.0852747252747257,5.359349593495936,7.630769230769231,12.553846153846155,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.3248786250000022,1.015668202764977,2.841121495327103,4.500000000000001,7.680000000000001,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,
SchedulingThroughput,111.11111111111111,119,138,138,138,pods/s
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,
scheduler_scheduling_attempt_duration_seconds,14.894758013000022,12.520951302378256,20.129032258064516,34.666666666666664,61.333333333333336,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,
scheduler_pod_scheduling_duration_seconds,4275.799878134998,4365.0402144772115,8927.179487179486,9583.589743589744,10108.71794871795,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,2.03495885,1.4956521739130435,3.1072463768115943,5.726315789473684,11.935135135135136,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/5000Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,1.0134384229999984,0.6954209748892172,1.534156378600823,2.9714285714285715,8.861538461538462,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,466,423,509,509,509,pods/s
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.112056755999997,3.433093525179856,7.355371900826446,10.146341463414634,24.42105263157895,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,976.5204985089997,957.5321336760926,2138.9473684210525,2349.4736842105262,2517.894736842105,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.2337189610000005,0.17085137085137084,0.38591549295774646,0.6222222222222222,1.3647058823529412,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5062364380000004,0.37152658662092625,0.7686046511627908,1.271794871794872,2.9714285714285715,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,83.33333333333333,83,91,95,95,pods/s
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,15.482205291000016,12.819277108433734,25.18032786885246,31.737704918032787,82.28571428571428,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,5767.786161408001,5657.7168949771685,10998.51851851852,15739.25925925926,19531.851851851854,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.4657440220000008,0.35197568389057754,0.7611940298507464,1.2000000000000002,2.8190476190476192,ms
BenchmarkPerfScheduling/SchedulingPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,1.0052039860000006,0.7350083752093802,1.4828169014084507,1.595492957746479,6.9818181818181815,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,243.5,246,298,298,298,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,1878.5525547730017,1850.7726269315674,4091.887550200804,4605.943775100402,5017.18875502008,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.6088670580000012,0.38074398249452956,1.1764705882352942,1.512605042016807,3.7333333333333334,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,1.3787622219999989,1.0842315369261477,2.5058823529411764,3.0941176470588236,9.846153846153847,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,8.754070155000006,7.144827586206897,15.145631067961165,21.666666666666668,50,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,200,209,224,224,224,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,7.853387079999988,6.857962697274031,14.305882352941177,15.87450980392157,29.09090909090909,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,2310.3078568419996,2301.414141414142,4538.181818181818,4829.090909090909,5061.818181818182,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5036732550000002,0.34733727810650894,0.7894736842105263,1.4400000000000002,3.2,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,1.0775077330000002,0.8547008547008547,1.5384615384615385,2.3,6.4,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,
SchedulingThroughput,496.5,445,548,548,548,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,886.1867756590001,893.9449541284404,2019.915611814346,2289.957805907173,2505.9915611814345,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.24243141099999996,0.16576819407008087,0.3802469135802469,0.6893617021276596,2,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.5896524499999999,0.4391608391608392,0.9405405405405406,1.481081081081081,4.342857142857143,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/500Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.044662837999998,3.3727647867950483,7.260663507109005,10.095238095238095,25.599999999999998,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,
SchedulingThroughput,142.71428571428572,141,170,170,170,pods/s
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_scheduling_attempt_duration_seconds,10.021123211999997,7.90625,16.172043010752688,24.774193548387096,31.655913978494628,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_pod_scheduling_duration_seconds,3591.6455338119968,3655.2577319587626,8398.273381294963,9319.136690647483,10055.827338129497,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.3435943790000005,0.30798898071625347,0.6146341463414634,0.7772357723577236,2.526315789473684,ms
BenchmarkPerfScheduling/SchedulingPreferredPodAntiAffinity/5000Nodes/sched-1,,,,,,
scheduler_framework_extension_point_duration_seconds,0.8556774690000005,0.6424242424242426,1.3,2.1,6.012121212121213,ms
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,
SchedulingThroughput,953,953,953,953,953,pods/s
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,
scheduler_framework_extension_point_duration_seconds,0.32227747399999984,0.17549467275494673,0.5951219512195123,1.0206896551724138,2.8666666666666667,ms
BenchmarkPerfScheduling/SchedulingNodeAffinity/500Nodes/namespace-2,,,,,,
